Wall time,Step,Value
1509122996.8161924,100,0.0779535248875618
1509124515.7702696,200,0.06203075125813484
1509126063.506761,300,0.04949740320444107
1509127601.9779909,400,0.05069160461425781
1509129105.5466387,500,0.044114384800195694
1509130592.6294024,600,0.03169482201337814
1509132104.8187168,700,0.028700463473796844
1509133594.4323847,800,0.02928837761282921
1509135095.3712466,900,0.026824984699487686
1509136694.892615,1000,0.02498757652938366
1509138184.6265411,1100,0.021243741735816002
1509139677.9095454,1200,0.015670159831643105
1509141173.6865575,1300,0.01563866063952446
1509142657.3419607,1400,0.01914648339152336
1509144176.2611918,1500,0.01713239774107933
1509145682.1320424,1600,0.014539411291480064
1509147160.5011559,1700,0.017347244545817375
1509148641.6057858,1800,0.014002994634211063
1509150152.636877,1900,0.010626094415783882
1509151628.6494944,2000,0.012587898410856724
1509153130.9288116,2100,0.011114473454654217
1509154653.9483843,2200,0.013893982395529747
1509156140.2855532,2300,0.015476481057703495
1509157633.288382,2400,0.012957777827978134
1509159158.4512033,2500,0.009929608553647995
1509160654.6802409,2600,0.01417780201882124
1509162152.3998227,2700,0.01209956593811512
1509163667.396938,2800,0.012838133610785007
1509165152.0826485,2900,0.011313548311591148
1509166643.0152533,3000,0.010911906138062477
1509168158.6782005,3100,0.01144765131175518
1509169653.6522422,3200,0.010512806475162506
1509171136.4462376,3300,0.011348217725753784
1509172638.7018576,3400,0.009809508919715881
1509174086.4454622,3500,0.010677117854356766
1509175556.3803973,3600,0.010671149007976055
1509177038.4559834,3700,0.010373271070420742
1509178520.4724276,3800,0.010153284296393394
1509179932.3238256,3900,0.009389357641339302
1509181427.6630397,4000,0.00953858345746994
1509182898.0473459,4100,0.009485086426138878
1509184362.748842,4200,0.010011575184762478
1509185851.3954203,4300,0.010278427042067051
